yr,id,tot_rns
2011,501228,286
2011,501229,203
2011,501230,279
2011,501231,189
2011,501232,336
2011,501233,276
2011,501234,239
2011,501235,287
2011,501236,311
2011,501237,295
2011,501238,281
2011,501239,318
2011,501240,296
2011,501241,299
2011,501242,295
2011,501243,354
2011,501244,325
2011,501245,175
2011,501246,324
2011,501247,253
2011,501248,239
2011,501249,329
2011,501250,273
2011,501251,250
2011,501252,297
2011,501253,334
2011,501254,359
2011,501255,194
2011,501256,260
2011,501257,311
2011,501258,195
2011,501259,274
2011,501260,353
2011,501261,293
2011,501262,237
2011,501263,267
2011,501264,314
2011,501266,257
2011,501267,353
2011,501268,352
2011,501269,295
2011,501270,327
2011,501271,352
2012,548306,227
2012,548307,197
2012,548308,230
2012,548309,351
2012,548310,294
2012,548311,312
2012,548312,306
2012,548313,310
2012,548314,280
2012,548315,288
2012,548316,221
2012,548317,367
2012,548318,413
2012,548319,231
2012,548320,268
2012,548321,319
2012,548322,311
2012,548323,266
2012,548324,331
2012,548325,185
2012,548326,393
2012,548327,368
2012,548328,251
2012,548329,380
2012,548330,315
2012,548331,329
2012,548332,293
2012,548333,364
2012,548334,327
2012,548335,253
2012,548336,332
2012,548337,294
2012,548339,339
2012,548341,336
2012,548342,377
2012,548343,305
2012,548344,333
2012,548345,303
2012,548346,201
2012,548347,279
2012,548348,359
2012,548349,285
2012,548350,321
2012,548351,239
2012,548352,310
2012,548353,293
2012,548354,311
2012,548355,347
2012,548356,366
2012,548357,307
2012,548358,251
2012,548359,315
2012,548360,283
2012,548361,253
2012,548362,311
2012,548363,337
2012,548364,229
2012,548365,295
2012,548366,384
2012,548367,344
2012,548368,318
2012,548369,276
2012,548370,248
2012,548371,243
2012,548372,409
2012,548373,254
2012,548374,286
2012,548375,238
2012,548376,255
2012,548377,325
2012,548378,306
2012,548379,336
2012,548380,358
2012,548381,382
2013,597998,257
2013,597999,310
2013,598000,230
2013,598001,325
2013,598002,287
2013,598003,199
2013,598005,269
2013,598006,374
2013,598007,277
2013,598008,312
2013,598009,293
2013,598010,229
2013,598011,325
2013,598012,331
2013,598013,312
2013,598014,250
2013,598015,294
2013,598016,310
2013,598018,227
2013,598019,271
2013,598020,252
2013,598021,250
2013,598022,243
2013,598023,240
2013,598024,326
2013,598025,371
2013,598026,371
2013,598027,396
2013,598028,335
2013,598029,321
2013,598030,319
2013,598031,299
2013,598032,290
2013,598033,330
2013,598034,386
2013,598035,313
2013,598036,344
2013,598037,344
2013,598038,291
2013,598039,259
2013,598040,273
2013,598041,357
2013,598042,357
2013,598043,265
2013,598044,161
2013,598045,350
2013,598046,218
2013,598047,360
2013,598048,323
2013,598049,309
2013,598050,275
2013,598051,369
2013,598052,292
2013,598053,258
2013,598054,362
2013,598055,228
2013,598056,270
2013,598057,231
2013,598058,285
2013,598059,241
2013,598060,362
2013,598061,333
2013,598062,303
2013,598063,318
2013,598064,384
2013,598065,249
2013,598066,316
2013,598067,306
2013,598068,188
2013,598069,262
2013,598070,336
2013,598071,267
2013,598072,334
2013,598073,273
2014,729279,285
2014,729281,291
2014,729283,411
2014,729285,268
2014,729287,231
2014,729289,333
2014,729291,384
2014,729293,261
2014,729295,314
2014,729297,273
2014,729299,298
2014,729301,364
2014,729303,283
2014,729305,141
2014,729307,241
2014,729309,251
2014,729311,291
2014,729313,251
2014,729317,329
2014,733971,262
2014,733973,338
2014,733975,308
2014,733977,313
2014,733979,330
2014,733981,359
2014,733983,355
2014,733985,321
2014,733987,418
2014,733989,236
2014,733991,364
2014,733993,187
2014,733995,317
2014,733997,299
2014,733999,381
2014,734001,317
2014,734003,297
2014,734005,356
2014,734007,416
2014,734009,283
2014,734011,340
2014,734013,280
2014,734015,288
2014,734017,331
2014,734019,329
2014,734021,321
2014,734023,310
2014,734025,315
2014,734027,360
2014,734029,374
2014,734031,331
2014,734033,342
2014,734035,314
2014,734037,321
2014,734039,234
2014,734041,384
2014,734043,298
2014,734045,349
2014,734047,428
2014,734049,399
2015,829705,338
2015,829707,299
2015,829709,298
2015,829711,373
2015,829713,356
2015,829715,370
2015,829717,336
2015,829719,338
2015,829721,329
2015,829723,334
2015,829725,334
2015,829727,258
2015,829729,372
2015,829731,330
2015,829733,314
2015,829735,313
2015,829737,400
2015,829739,293
2015,829743,277
2015,829745,335
2015,829747,343
2015,829749,264
2015,829751,294
2015,829753,287
2015,829757,194
2015,829759,280
2015,829761,329
2015,829765,266
2015,829767,237
2015,829769,366
2015,829771,226
2015,829773,362
2015,829775,321
2015,829777,364
2015,829779,272
2015,829781,299
2015,829783,305
2015,829785,314
2015,829787,395
2015,829789,317
2015,829791,367
2015,829793,320
2015,829795,431
2015,829797,302
2015,829799,365
2015,829801,239
2015,829803,190
2015,829805,337
2015,829807,218
2015,829809,264
2015,829811,389
2015,829815,227
2015,829817,349
2015,829819,289
2015,829821,279
2015,829823,363
2016,980901,247
2016,980903,197
2016,980905,323
2016,980907,409
2016,980909,375
2016,980911,327
2016,980913,224
2016,980915,288
2016,980917,290
2016,980919,305
2016,980921,383
2016,980923,287
2016,980925,279
2016,980927,341
2016,980929,272
2016,980931,357
2016,980933,318
2016,980935,289
2016,980937,362
2016,980939,322
2016,980941,353
2016,980943,212
2016,980945,343
2016,980947,352
2016,980949,391
2016,980951,345
2016,980953,373
2016,980955,285
2016,980957,320
2016,980959,374
2016,980961,299
2016,980963,321
2016,980965,328
2016,980967,255
2016,980969,386
2016,980971,353
2016,980973,269
2016,980975,322
2016,980977,349
2016,980979,270
2016,980981,304
2016,980983,296
2016,980985,251
2016,980987,352
2016,980989,169
2016,980991,359
2016,980993,332
2016,980995,369
2016,980997,197
2016,980999,331
2016,981001,249
2016,981003,319
2016,981005,345
2016,981007,345
2016,981009,320
2016,981011,277
2016,981013,317
2016,981015,302
2016,981017,325
2016,981019,408
2017,1082591,379
2017,1082592,371
2017,1082593,367
2017,1082594,327
2017,1082595,299
2017,1082596,275
2017,1082597,358
2017,1082598,298
2017,1082599,313
2017,1082600,317
2017,1082601,341
2017,1082602,287
2017,1082603,343
2017,1082604,327
2017,1082605,325
2017,1082606,353
2017,1082607,295
2017,1082608,337
2017,1082609,313
2017,1082610,405
2017,1082611,367
2017,1082612,397
2017,1082613,375
2017,1082614,270
2017,1082615,355
2017,1082616,350
2017,1082617,180
2017,1082618,317
2017,1082620,366
2017,1082621,269
2017,1082622,321
2017,1082623,388
2017,1082624,253
2017,1082626,135
2017,1082627,370
2017,1082628,327
2017,1082629,328
2017,1082630,374
2017,1082631,313
2017,1082632,422
2017,1082633,257
2017,1082634,284
2017,1082635,278
2017,1082636,317
2017,1082637,381
2017,1082638,278
2017,1082639,320
2017,1082640,392
2017,1082641,453
2017,1082642,329
2017,1082643,312
2017,1082644,337
2017,1082645,151
2017,1082646,312
2017,1082647,304
2017,1082648,176
2017,1082649,218
2017,1082650,257
2018,1136561,334
2018,1136562,333
2018,1136563,353
2018,1136564,252
2018,1136565,407
2018,1136566,213
2018,1136567,298
2018,1136568,314
2018,1136569,389
2018,1136570,277
2018,1136571,415
2018,1136572,390
2018,1136573,329
2018,1136574,380
2018,1136575,323
2018,1136576,371
2018,1136577,344
2018,1136578,317
2018,1136579,350
2018,1136580,360
2018,1136581,335
2018,1136582,282
2018,1136583,205
2018,1136584,412
2018,1136585,251
2018,1136586,383
2018,1136587,339
2018,1136588,291
2018,1136589,351
2018,1136590,409
2018,1136591,320
2018,1136592,342
2018,1136593,357
2018,1136594,350
2018,1136595,255
2018,1136596,327
2018,1136597,349
2018,1136598,307
2018,1136599,287
2018,1136600,301
2018,1136601,318
2018,1136602,378
2018,1136603,353
2018,1136604,459
2018,1136605,368
2018,1136606,359
2018,1136607,339
2018,1136608,180
2018,1136609,287
2018,1136610,369
2018,1136611,422
2018,1136612,290
2018,1136613,298
2018,1136614,345
2018,1136615,337
2018,1136616,312
2018,1136617,279
2018,1136618,313
2018,1136619,334
2018,1136620,359
2019,1175356,141
2019,1175357,364
2019,1175358,389
2019,1175359,354
2019,1175360,297
2019,1175361,408
2019,1175362,368
2019,1175363,399
2019,1175364,353
2019,1175366,344
2019,1175367,342
2019,1175368,318
2019,1175369,322
2019,1175370,303
2019,1175371,260
2019,1175372,411
2019,1178393,298
2019,1178394,232
2019,1178395,301
2019,1178396,279
2019,1178397,301
2019,1178398,219
2019,1178399,395
2019,1178400,306
2019,1178401,358
2019,1178402,375
2019,1178403,347
2019,1178404,323
2019,1178405,271
2019,1178406,343
2019,1178407,352
2019,1178408,269
2019,1178409,296
2019,1178410,416
2019,1178411,323
2019,1178412,329
2019,1178413,320
2019,1178414,321
2019,1178415,384
2019,1178416,351
2019,1178417,387
2019,1178418,352
2019,1178419,264
2019,1178420,321
2019,1178421,358
2019,1178422,430
2019,1178423,379
2019,1178425,278
2019,1178427,368
2019,1178428,236
2019,1178429,353
2019,1178430,343
2019,1178431,267
2019,1181764,263
2019,1181766,327
2019,1181767,298
2019,1181768,297
2020,1216492,328
2020,1216494,169
2020,1216495,300
2020,1216496,416
2020,1216497,329
2020,1216498,240
2020,1216499,330
2020,1216500,322
2020,1216501,324
2020,1216502,241
2020,1216503,334
2020,1216504,311
2020,1216505,306
2020,1216506,307
2020,1216507,321
2020,1216508,341
2020,1216509,364
2020,1216510,315
2020,1216511,329
2020,1216513,359
2020,1216514,312
2020,1216515,438
2020,1216516,321
2020,1216518,310
2020,1216519,333
2020,1216520,299
2020,1216521,230
2020,1216522,356
2020,1216523,326
2020,1216524,350
2020,1216525,301
2020,1216526,297
2020,1216527,449
2020,1216528,314
2020,1216529,328
2020,1216530,322
2020,1216531,348
2020,1216532,309
2020,1216533,251
2020,1216534,316
2020,1216535,221
2020,1216536,350
2020,1216537,371
2020,1216538,382
2020,1216539,306
2020,1216540,306
2020,1216541,391
2020,1216542,333
2020,1216543,309
2020,1216544,295
2020,1216545,287
2020,1216546,331
2020,1237177,343
2020,1237178,263
2020,1237180,361
2020,1237181,313
